branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,hash,modified
develop,discover,gfortran,8.3.0,mpt,2.17,g,Linux,Pass,13695,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/gfortran/8.3.0/g/mpt/2.17),02/15/2022_10:37:02
develop,discover,intel,2020,intelmpi,19.1.3.304,O,Linux,Pass,9071,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/intel/2020/O/intelmpi/19.1.3.304),02/15/2022_10:37:02
develop,discover,intel,2020,intelmpi,19.1.3.304,g,Linux,Pass,13695,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/intel/2020/g/intelmpi/19.1.3.304),02/15/2022_10:37:02
develop,discover,intel,2020,mpt,2.17,O,Linux,Pass,9071,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/intel/2020/O/mpt/2.17),02/15/2022_10:37:02
develop,discover,intel,2020,mpt,2.17,g,Linux,Pass,13695,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/intel/2020/g/mpt/2.17),02/15/2022_10:37:02
develop,discover,pgi,2020,mpiuni,none,O,Linux,Fail,6928,622,6,2,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/pgi/2020/O/mpiuni/none),02/15/2022_10:37:02
develop,discover,pgi,2020,mpiuni,none,g,Linux,Fail,9788,494,4,4,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/pgi/2020/g/mpiuni/none),02/15/2022_10:37:02
develop,hera,gfortran,9.2.0b,intelmpi,2020,O,Linux,Pass,9055,16,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/gfortran/9.2.0b/O/intelmpi/2020),02/15/2022_09:39:59
develop,hera,gfortran,9.2.0b,intelmpi,2020,g,Linux,Pass,13680,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/gfortran/9.2.0b/g/intelmpi/2020),02/15/2022_09:39:59
develop,hera,gfortran,9.2.0,mpiuni,none,O,Linux,Fail,7550,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/gfortran/9.2.0/O/mpiuni/none),02/15/2022_09:39:59
develop,hera,gfortran,9.2.0,mpiuni,none,g,Linux,Fail,12174,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/gfortran/9.2.0/g/mpiuni/none),02/15/2022_09:39:59
develop,hera,gfortran,9.2.0,openmpi,3.1.4,O,Linux,Pass,9070,1,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/gfortran/9.2.0/O/openmpi/3.1.4),02/15/2022_09:39:59
develop,hera,gfortran,9.2.0,openmpi,3.1.4,g,Linux,Pass,13695,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/gfortran/9.2.0/g/openmpi/3.1.4),02/15/2022_09:39:59
develop,hera,intel,18.0.4,intelmpi,2018.4.274,O,Linux,Pass,9071,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/intel/18.0.4/O/intelmpi/2018.4.274),02/15/2022_09:39:59
develop,hera,intel,18.0.4,intelmpi,2018.4.274,g,Linux,Pass,13695,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/intel/18.0.4/g/intelmpi/2018.4.274),02/15/2022_09:39:59
develop,hera,intel,18.0.4,mpiuni,none,O,Linux,Fail,7550,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/intel/18.0.4/O/mpiuni/none),02/15/2022_09:39:59
develop,hera,intel,18.0.4,mpiuni,none,g,Linux,Fail,12174,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/intel/18.0.4/g/mpiuni/none),02/15/2022_09:39:59
develop,hera,pgi,18.1,intelmpi,2018.0.4,O,Linux,Fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/pgi/18.1/O/intelmpi/2018.0.4),02/15/2022_09:39:59
develop,hera,pgi,18.1,intelmpi,2018.0.4,g,Linux,Fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/hera/develop/hera/pgi/18.1/g/intelmpi/2018.0.4),02/15/2022_09:39:59
develop,jet,gfortran,9.2.0,openmpi,3.1.4,O,Linux,Pass,9071,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/jet/develop/jet/gfortran/9.2.0/O/openmpi/3.1.4),02/15/2022_09:42:00
develop,jet,gfortran,9.2.0,openmpi,3.1.4,g,Linux,Pass,13695,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/jet/develop/jet/gfortran/9.2.0/g/openmpi/3.1.4),02/15/2022_09:42:00
develop,jet,intel,2020.2,intelmpi,2020.2,O,Linux,Pass,11939,queued,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/jet/develop/jet/intel/2020.2/O/intelmpi/2020.2),02/15/2022_09:42:00
develop,jet,intel,2020.2,intelmpi,2020.2,g,Linux,Pass,13695,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/jet/develop/jet/intel/2020.2/g/intelmpi/2020.2),02/15/2022_09:42:00
develop,jet,intel,2020.2,mvapich2,2.3,O,Linux,Pass,11939,queued,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/jet/develop/jet/intel/2020.2/O/mvapich2/2.3),02/15/2022_09:42:00
develop,jet,intel,2020.2,mvapich2,2.3,g,Linux,Pass,13695,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/jet/develop/jet/intel/2020.2/g/mvapich2/2.3),02/15/2022_09:42:00
develop,orion,gfortran,8.3.0,mpiuni,none,O,Linux,Fail,7550,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/orion/develop/orion/gfortran/8.3.0/O/mpiuni/none),02/15/2022_10:15:11
develop,orion,gfortran,8.3.0,mpiuni,none,g,Linux,Fail,12174,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/orion/develop/orion/gfortran/8.3.0/g/mpiuni/none),02/15/2022_10:15:11
develop,orion,gfortran,8.3.0,openmpi,4.0.2,O,Linux,Pass,9071,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/orion/develop/orion/gfortran/8.3.0/O/openmpi/4.0.2),02/15/2022_10:15:11
develop,orion,gfortran,8.3.0,openmpi,4.0.2,g,Linux,Pass,13695,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/orion/develop/orion/gfortran/8.3.0/g/openmpi/4.0.2),02/15/2022_10:15:11
develop,orion,intel,2020,intelmpi,2020.2,O,Linux,Pass,9069,2,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/orion/develop/orion/intel/2020/O/intelmpi/2020.2),02/15/2022_10:15:11
develop,orion,intel,2020,intelmpi,2020.2,g,Linux,Pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/orion/develop/orion/intel/2020/g/intelmpi/2020.2),02/15/2022_10:15:11
